ID                                     0xcf59
Delivery_person_ID             AURGRES20DEL01
Delivery_person_Age                     31.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         18-02-2022
Time_Orderd                             23:60
Time_Order_picked                       24:10
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        25.00
Name: 24944, dtype: object
