ID                                      0xa5ae
Delivery_person_ID             COIMBRES19DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.102298
Delivery_location_longitude          77.078349
Order_Date                          08-03-2022
Time_Orderd                              19:20
Time_Order_picked                        19:30
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 19570, dtype: object
