ID                                       0x24ae
Delivery_person_ID                SURRES17DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   21.149569
Restaurant_longitude                  72.772697
Delivery_location_latitude            21.279569
Delivery_location_longitude           72.902697
Order_Date                           18-03-2022
Time_Orderd                               19:20
Time_Order_picked                         19:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 20747, dtype: object
