ID                                    0xbf1c
Delivery_person_ID             KNPRES15DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.482419
Restaurant_longitude               80.320939
Delivery_location_latitude         26.622419
Delivery_location_longitude        80.460939
Order_Date                        12-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:50
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                              Semi-Urban
Time_taken (min)                   50.000000
Name: 43965, dtype: object
