ID                                    0xae2c
Delivery_person_ID             MYSRES11DEL03
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                12.323225
Restaurant_longitude               76.630028
Delivery_location_latitude         12.383225
Delivery_location_longitude        76.690028
Order_Date                        05-04-2022
Time_Orderd                            22:50
Time_Order_picked                      23:05
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 17989, dtype: object
