ID                                       0x8bab
Delivery_person_ID                HYDRES02DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   17.412330
Restaurant_longitude                  78.449654
Delivery_location_latitude            17.432330
Delivery_location_longitude           78.469654
Order_Date                           19-03-2022
Time_Orderd                               10:45
Time_Order_picked                         10:55
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 5832, dtype: object
