ID                                       0x3d6e
Delivery_person_ID             RANCHIRES05DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.355164
Restaurant_longitude                  85.324097
Delivery_location_latitude            23.435164
Delivery_location_longitude           85.404097
Order_Date                           23-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 26511, dtype: object
