ID                                     0x63c
Delivery_person_ID             VADRES15DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                    -0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.09
Delivery_location_longitude             0.09
Order_Date                        04-03-2022
Time_Orderd                              NaN
Time_Order_picked                      17:55
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     2.00
Festival                                  No
City                                   Urban
Time_taken (min)                       37.00
Name: 6210, dtype: object
