ID                                        0x56b
Delivery_person_ID               PUNERES04DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -18.514210
Restaurant_longitude                  73.838429
Delivery_location_latitude            18.524210
Delivery_location_longitude           73.848429
Order_Date                           21-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         12:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 9483, dtype: object
