ID                                      0x1bea
Delivery_person_ID             COIMBRES19DEL03
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.052298
Delivery_location_longitude          77.028349
Order_Date                          28-03-2022
Time_Orderd                              17:30
Time_Order_picked                        17:35
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     37.000000
Name: 6062, dtype: object
