ID                                       0xaaa2
Delivery_person_ID                VADRES07DEL01
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           28-03-2022
Time_Orderd                               15:35
Time_Order_picked                         15:40
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          24.00
Name: 6377, dtype: object
