ID                                      0xaeeb
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.943298
Delivery_location_longitude          77.624293
Order_Date                          03-04-2022
Time_Orderd                              10:15
Time_Order_picked                        10:30
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     29.000000
Name: 31625, dtype: object
