ID                                       0xa56c
Delivery_person_ID               MUMRES010DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   19.003517
Restaurant_longitude                  72.827650
Delivery_location_latitude            19.043517
Delivery_location_longitude           72.867650
Order_Date                           19-03-2022
Time_Orderd                               16:50
Time_Order_picked                         17:05
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 44633, dtype: object
