ID                                      0xb25e
Delivery_person_ID             COIMBRES13DEL01
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.043669
Delivery_location_longitude          77.016494
Order_Date                          05-04-2022
Time_Orderd                              16:10
Time_Order_picked                        16:25
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 43336, dtype: object
