ID                                      0xb4e3
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.619299
Delivery_location_longitude          73.977902
Order_Date                          02-04-2022
Time_Orderd                              23:10
Time_Order_picked                        23:20
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     16.000000
Name: 1204, dtype: object
