ID                                     0xa2c
Delivery_person_ID             MUMRES20DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.183249
Delivery_location_longitude        72.926749
Order_Date                        25-03-2022
Time_Orderd                              NaN
Time_Order_picked                      18:50
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   36.000000
Name: 15673, dtype: object
