ID                                    0x72ca
Delivery_person_ID             MYSRES13DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                12.310972
Restaurant_longitude               76.659264
Delivery_location_latitude         12.320972
Delivery_location_longitude        76.669264
Order_Date                        17-03-2022
Time_Orderd                             9:55
Time_Order_picked                      10:10
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   18.000000
Name: 37988, dtype: object
