ID                                        0x4ac
Delivery_person_ID               PUNERES15DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -18.636215
Restaurant_longitude                 -73.751081
Delivery_location_latitude            18.706215
Delivery_location_longitude           73.821081
Order_Date                           06-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:40
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 4461, dtype: object
