ID                                    0xdd5f
Delivery_person_ID             AGRRES19DEL01
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        15-02-2022
Time_Orderd                            14:40
Time_Order_picked                      14:45
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       37.00
Name: 31808, dtype: object
