ID                                    0xdc25
Delivery_person_ID             ALHRES19DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.457116
Restaurant_longitude               81.859682
Delivery_location_latitude         25.537116
Delivery_location_longitude        81.939682
Order_Date                        12-02-2022
Time_Orderd                            22:10
Time_Order_picked                      22:20
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 27462, dtype: object
