ID                                       0x8c3a
Delivery_person_ID             RANCHIRES09DEL03
Delivery_person_Age                   31.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.441058
Delivery_location_longitude           85.415731
Order_Date                           29-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:45
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 34517, dtype: object
