ID                                        0xb7db
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    25.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.464422
Delivery_location_longitude            85.442900
Order_Date                            04-03-2022
Time_Orderd                                19:45
Time_Order_picked                          19:60
Weather conditions                         Windy
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                              Snack
Type_of_vehicle                 electric_scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       18.000000
Name: 39949, dtype: object
