ID                                       0xb74f
Delivery_person_ID                HYDRES11DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   17.430448
Restaurant_longitude                  78.418213
Delivery_location_latitude            17.510448
Delivery_location_longitude           78.498213
Order_Date                           27-03-2022
Time_Orderd                               18:20
Time_Order_picked                         18:30
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      32.000000
Name: 39372, dtype: object
