ID                                    0xd5fd
Delivery_person_ID             GOARES08DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.400000
Restaurant_latitude                15.556561
Restaurant_longitude               73.763633
Delivery_location_latitude         15.626561
Delivery_location_longitude        73.833633
Order_Date                        18-02-2022
Time_Orderd                            22:15
Time_Order_picked                      22:20
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 9601, dtype: object
