ID                                     0x6cee
Delivery_person_ID             CHENRES13DEL02
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.027018
Restaurant_longitude                80.254791
Delivery_location_latitude          13.077018
Delivery_location_longitude         80.304791
Order_Date                         05-04-2022
Time_Orderd                             20:55
Time_Order_picked                       20:60
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 27856, dtype: object
