ID                                        0x40c
Delivery_person_ID              COIMBRES08DEL03
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                   11.001852
Restaurant_longitude                  76.976268
Delivery_location_latitude            11.061852
Delivery_location_longitude           77.036268
Order_Date                           01-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 32754, dtype: object
