ID                                    0xe15b
Delivery_person_ID             GOARES16DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                15.498603
Restaurant_longitude               73.826911
Delivery_location_latitude         15.538603
Delivery_location_longitude        73.866911
Order_Date                        17-02-2022
Time_Orderd                            14:10
Time_Order_picked                      14:15
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   13.000000
Name: 36152, dtype: object
