ID                                       0xac3c
Delivery_person_ID               BANGRES11DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.934365
Restaurant_longitude                  77.616155
Delivery_location_latitude            12.944365
Delivery_location_longitude           77.626155
Order_Date                           26-03-2022
Time_Orderd                                9:60
Time_Order_picked                         10:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      16.000000
Name: 2084, dtype: object
