ID                                    0xccec
Delivery_person_ID             KNPRES11DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.474986
Restaurant_longitude               80.342796
Delivery_location_latitude         26.584986
Delivery_location_longitude        80.452796
Order_Date                        14-02-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   21.000000
Name: 14196, dtype: object
