ID                                       0xd0ed
Delivery_person_ID               LUDHRES16DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                     NaN
Restaurant_latitude                   30.895817
Restaurant_longitude                  75.813112
Delivery_location_latitude            30.945817
Delivery_location_longitude           75.863112
Order_Date                           13-02-2022
Time_Orderd                               22:20
Time_Order_picked                         22:30
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      29.000000
Name: 39425, dtype: object
