ID                                     0xdeaa
Delivery_person_ID             DEHRES010DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 30.328174
Restaurant_longitude                78.049117
Delivery_location_latitude          30.458174
Delivery_location_longitude         78.179117
Order_Date                         12-02-2022
Time_Orderd                             21:60
Time_Order_picked                       22:15
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 42184, dtype: object
