ID                                     0xdcfa
Delivery_person_ID             AGRRES010DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.203303
Delivery_location_longitude         78.097044
Order_Date                         15-02-2022
Time_Orderd                             13:30
Time_Order_picked                       13:40
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    31.000000
Name: 21917, dtype: object
