ID                                      0xa7d4
Delivery_person_ID             COIMBRES04DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.074839
Delivery_location_longitude          77.057003
Order_Date                          28-03-2022
Time_Orderd                              23:25
Time_Order_picked                        23:30
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 35459, dtype: object
