ID                                       0x6675
Delivery_person_ID                SURRES05DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   21.175104
Restaurant_longitude                  72.804342
Delivery_location_latitude            21.255104
Delivery_location_longitude           72.884342
Order_Date                           04-04-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 5548, dtype: object
