ID                                    0x51cf
Delivery_person_ID             SURRES12DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                21.183434
Restaurant_longitude               72.814492
Delivery_location_latitude         21.193434
Delivery_location_longitude        72.824492
Order_Date                        03-03-2022
Time_Orderd                             8:45
Time_Order_picked                       8:50
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 23914, dtype: object
