ID                                     0x5b0e
Delivery_person_ID             INDORES13DEL02
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.875049
Delivery_location_longitude         76.022471
Order_Date                         16-03-2022
Time_Orderd                             20:60
Time_Order_picked                       21:05
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 26914, dtype: object
