ID                                     0x43c
Delivery_person_ID             HYDRES14DEL01
Delivery_person_Age                50.000000
Delivery_person_Ratings             6.000000
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.536228
Delivery_location_longitude        78.517495
Order_Date                        02-04-2022
Time_Orderd                              NaN
Time_Order_picked                      22:50
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 23447, dtype: object
