ID                                     0xde88
Delivery_person_ID             AURGRES17DEL02
Delivery_person_Age                 22.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 19.876994
Restaurant_longitude                75.372353
Delivery_location_latitude          20.006994
Delivery_location_longitude         75.502353
Order_Date                         14-02-2022
Time_Orderd                             23:60
Time_Order_picked                       24:05
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 43384, dtype: object
