ID                                    0xdca2
Delivery_person_ID             DEHRES15DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 4.20
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        16-02-2022
Time_Orderd                            21:25
Time_Order_picked                      21:40
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     2.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       44.00
Name: 18655, dtype: object
