ID                                      0x6df6
Delivery_person_ID             COIMBRES06DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.101278
Delivery_location_longitude          77.075017
Order_Date                          04-04-2022
Time_Orderd                              20:25
Time_Order_picked                        20:35
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 10788, dtype: object
