ID                                        0xad3
Delivery_person_ID             RANCHIRES15DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.379746
Delivery_location_longitude           85.349820
Order_Date                           15-03-2022
Time_Orderd                                9:55
Time_Order_picked                         10:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 4539, dtype: object
