ID                                       0x657d
Delivery_person_ID              COIMBRES11DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   11.001753
Restaurant_longitude                  76.986241
Delivery_location_latitude            11.051753
Delivery_location_longitude           77.036241
Order_Date                           13-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:45
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      37.000000
Name: 42787, dtype: object
