ID                                        0x85bc
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    26.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.384422
Delivery_location_longitude            85.362900
Order_Date                            07-03-2022
Time_Orderd                                22:60
Time_Order_picked                          23:10
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                             Drinks
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       17.000000
Name: 28315, dtype: object
