ID                                       0x43dd
Delivery_person_ID             RANCHIRES03DEL01
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           26-03-2022
Time_Orderd                               13:60
Time_Order_picked                         14:05
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          22.00
Name: 27798, dtype: object
