ID                                    0xc01f
Delivery_person_ID             DEHRES08DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -30.359722
Restaurant_longitude               78.067079
Delivery_location_latitude         30.389722
Delivery_location_longitude        78.097079
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:30
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 26808, dtype: object
