ID                                    0x76fa
Delivery_person_ID             SURRES17DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                21.149569
Restaurant_longitude               72.772697
Delivery_location_latitude         21.189569
Delivery_location_longitude        72.812697
Order_Date                        07-03-2022
Time_Orderd                            12:50
Time_Order_picked                      13:05
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 15266, dtype: object
