ID                                    0xda76
Delivery_person_ID             GOARES13DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                15.506205
Restaurant_longitude               73.766668
Delivery_location_latitude         15.526205
Delivery_location_longitude        73.786668
Order_Date                        11-02-2022
Time_Orderd                            11:50
Time_Order_picked                      12:05
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   42.000000
Name: 20147, dtype: object
