ID                                      0xc58a
Delivery_person_ID             LUDHRES010DEL01
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.932860
Delivery_location_longitude          75.862199
Order_Date                          15-02-2022
Time_Orderd                              14:15
Time_Order_picked                        14:30
Weather conditions                      Stormy
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 30348, dtype: object
