ID                                      0x355f
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.052169
Delivery_location_longitude          77.029594
Order_Date                          05-04-2022
Time_Orderd                              21:40
Time_Order_picked                        21:55
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 34954, dtype: object
