ID                                     0xcacd
Delivery_person_ID             LUDHRES20DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 30.885915
Restaurant_longitude                75.788259
Delivery_location_latitude          30.925915
Delivery_location_longitude         75.828259
Order_Date                         15-02-2022
Time_Orderd                             14:40
Time_Order_picked                       14:45
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 21320, dtype: object
