ID                                    0xc0a1
Delivery_person_ID             DEHRES14DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude               -30.319528
Restaurant_longitude               78.040267
Delivery_location_latitude         30.379528
Delivery_location_longitude        78.100267
Order_Date                        15-02-2022
Time_Orderd                            18:20
Time_Order_picked                      18:35
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 21038, dtype: object
