ID                                    0xc3ca
Delivery_person_ID             AGRRES20DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                27.158822
Restaurant_longitude               78.045359
Delivery_location_latitude         27.268822
Delivery_location_longitude        78.155359
Order_Date                        12-02-2022
Time_Orderd                            19:60
Time_Order_picked                      20:10
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                              Semi-Urban
Time_taken (min)                   50.000000
Name: 18389, dtype: object
