ID                                        0x3ed
Delivery_person_ID             RANCHIRES09DEL01
Delivery_person_Age                   15.000000
Delivery_person_Ratings                1.000000
Restaurant_latitude                  -23.351058
Restaurant_longitude                 -85.325731
Delivery_location_latitude            23.421058
Delivery_location_longitude           85.395731
Order_Date                           27-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:35
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 30059, dtype: object
