ID                                       0x2aa6
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       31.00
Delivery_person_Ratings                    3.20
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           04-04-2022
Time_Orderd                               22:50
Time_Order_picked                         22:55
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          33.00
Name: 4663, dtype: object
