ID                                       0x7f1f
Delivery_person_ID                HYDRES16DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   17.440827
Restaurant_longitude                  78.393391
Delivery_location_latitude            17.570827
Delivery_location_longitude           78.523391
Order_Date                           23-03-2022
Time_Orderd                               22:45
Time_Order_picked                         22:50
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      32.000000
Name: 28350, dtype: object
