ID                                       0xc1b7
Delivery_person_ID                KOCRES04DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                    9.966783
Restaurant_longitude                  76.242981
Delivery_location_latitude            10.046783
Delivery_location_longitude           76.322981
Order_Date                           16-02-2022
Time_Orderd                               21:30
Time_Order_picked                         21:40
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 16825, dtype: object
