ID                                    0xbf7c
Delivery_person_ID             DEHRES16DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.342509
Restaurant_longitude               78.061187
Delivery_location_latitude         30.432509
Delivery_location_longitude        78.151187
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      23:20
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 6844, dtype: object
