ID                                    0xc7f6
Delivery_person_ID             BHPRES20DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.235123
Restaurant_longitude               77.398886
Delivery_location_latitude         23.265123
Delivery_location_longitude        77.428886
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      23:10
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 31845, dtype: object
