ID                                     0xdb38
Delivery_person_ID             AURGRES03DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 19.874733
Restaurant_longitude                75.353942
Delivery_location_latitude          19.944733
Delivery_location_longitude         75.423942
Order_Date                         14-02-2022
Time_Orderd                             19:35
Time_Order_picked                       19:40
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 29585, dtype: object
