ID                                    0x4ba0
Delivery_person_ID             MUMRES03DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.223840
Restaurant_longitude               72.841347
Delivery_location_latitude         19.263840
Delivery_location_longitude        72.881347
Order_Date                        01-04-2022
Time_Orderd                            13:40
Time_Order_picked                      13:45
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 1389, dtype: object
