ID                                        0xff7
Delivery_person_ID                SURRES18DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.149834
Restaurant_longitude                  72.778666
Delivery_location_latitude            21.189834
Delivery_location_longitude           72.818666
Order_Date                           13-03-2022
Time_Orderd                               13:10
Time_Order_picked                         13:20
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 29708, dtype: object
