ID                                       0xd0e9
Delivery_person_ID                KOLRES19DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.549100
Restaurant_longitude                  88.400467
Delivery_location_latitude            22.609100
Delivery_location_longitude           88.460467
Order_Date                           15-02-2022
Time_Orderd                               18:10
Time_Order_picked                         18:25
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 5102, dtype: object
