ID                                       0xd0b
Delivery_person_ID             CHENRES010DEL03
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.156762
Delivery_location_longitude          80.341865
Order_Date                          25-03-2022
Time_Orderd                              20:10
Time_Order_picked                        20:25
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 27020, dtype: object
