ID                                       0x1ddb
Delivery_person_ID                JAPRES01DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.905190
Restaurant_longitude                  75.810753
Delivery_location_latitude            26.915190
Delivery_location_longitude           75.820753
Order_Date                           05-03-2022
Time_Orderd                                8:45
Time_Order_picked                          8:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      12.000000
Name: 42350, dtype: object
